title,country,release_year,rating,duration_min,genre,description,platform
Gurgaon,India,2017,TV-14,106,"Dramas, International Movies, Thrillers","When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own.",Netflix
Here and There,NULL,2020,TV-MA,99,"Dramas, International Movies, Romantic Movies","After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic.",Netflix
In the Cut,"United Kingdom, Australia, France, United States",2003,R,118,Thrillers,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime.",Netflix
Shikara,India,2020,TV-14,115,"Dramas, International Movies, Romantic Movies",A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.,Netflix
A Cinderella Story,"United States, Canada",2004,PG,95,"Children & Family Movies, Comedies","Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?",Netflix
"Agatha Christie's Crooked House",NULL,2017,PG-13,115,"Dramas, International Movies, Thrillers","When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family.",Netflix
An Unfinished Life,"Germany, United States",2005,PG-13,108,Dramas,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive.",Netflix
Barbie Big City Big Dreams,NULL,2021,TV-Y,63,"Children & Family Movies, Music & Musicals","At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends.",Netflix
Blade Runner: The Final Cut,United States,1982,R,117,"Action & Adventure, Classic Movies, Cult Movies","In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants.""",Netflix
Chappie,"South Africa, United States",2015,R,121,"Action & Adventure, Sci-Fi & Fantasy","In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence.",Netflix
Clear and Present Danger,"United States, Mexico",1994,PG-13,142,"Action & Adventure, Dramas","When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.",Netflix
Cliffhanger,"United States, Italy, France, Japan",1993,R,113,Action & Adventure,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers.",Netflix
Cold Mountain,"United States, Italy, Romania, United Kingdom",2003,R,154,"Dramas, Romantic Movies","This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm.",Netflix
Crocodile Dundee in Los Angeles,"Australia, United States",2001,PG,95,"Action & Adventure, Comedies","When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel.",Netflix
Dear John,United States,2010,PG-13,108,"Dramas, Romantic Movies","While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together.",Netflix
Do the Right Thing,United States,1989,R,120,"Classic Movies, Comedies, Dramas","On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy.",Netflix
"El patrón, radiografía de un crimen","Argentina, Venezuela",2014,TV-MA,100,"Dramas, International Movies, Thrillers",A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.,Netflix
Extraction,"United States, United Kingdom, Canada",2015,R,82,Action & Adventure,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot.",Netflix
Freedom Writers,"Germany, United States",2007,PG-13,124,Dramas,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives.",Netflix
Green Lantern,United States,2011,PG-13,114,"Action & Adventure, Sci-Fi & Fantasy",Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.,Netflix
House Party,United States,1990,R,104,"Comedies, Cult Movies","Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another.",Netflix
House Party 2,United States,1991,R,94,"Comedies, Cult Movies, Music & Musicals","Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash.",Netflix
House Party 3,United States,1994,R,94,"Comedies, Music & Musicals","After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications.",Netflix
I Got the Hook Up,United States,1998,R,93,"Action & Adventure, Comedies","After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van.",Netflix
In Too Deep,United States,1999,R,97,Thrillers,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder.",Netflix
Initial D,"China, Hong Kong",2005,TV-14,109,"Action & Adventure, International Movies","By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel.",Netflix
Janoskians: Untold and Untrue,United States,2016,TV-MA,88,Comedies,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.,Netflix
Labyrinth,"United Kingdom, United States",1986,PG,101,"Action & Adventure, Children & Family Movies, Cult Movies","In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin.",Netflix
Letters to Juliet,United States,2010,PG,105,"Comedies, Dramas, Romantic Movies","By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance.",Netflix
Level 16,Canada,2018,TV-14,102,"Sci-Fi & Fantasy, Thrillers","In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape.",Netflix
"Love Don't Cost a Thing",United States,2003,PG-13,101,"Comedies, Romantic Movies",A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.,Netflix
Love in a Puff,Hong Kong,2010,TV-MA,103,"Comedies, Dramas, International Movies","When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections.",Netflix
Mars Attacks!,United States,1996,PG-13,106,"Comedies, Cult Movies, Sci-Fi & Fantasy","As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace.",Netflix
Marshall,"United States, China, Hong Kong",2017,PG-13,118,Dramas,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer.",Netflix
"My Boss's Daughter",United States,2003,R,86,"Comedies, Romantic Movies","A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush.",Netflix
Mystery Men,United States,1999,PG-13,121,"Action & Adventure, Comedies",A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.,Netflix
Once Upon a Time in America,"Italy, United States",1984,R,229,"Classic Movies, Dramas","Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.",Netflix
Open Season 2,"United States, Canada",2008,PG,76,"Children & Family Movies, Comedies",Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.,Netflix
Osmosis Jones,United States,2001,PG,95,"Action & Adventure, Children & Family Movies, Comedies","Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.",Netflix
Poseidon,United States,2006,PG-13,98,"Action & Adventure, Dramas","A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival.",Netflix
Rhyme & Reason,United States,1997,R,89,"Documentaries, Music & Musicals","The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts.",Netflix
Same Kind of Different as Me,United States,2017,PG-13,120,"Dramas, Faith & Spirituality",A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.,Netflix
School of Rock,"United States, Germany",2003,PG-13,110,"Comedies, Music & Musicals","Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll.",Netflix
