show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,Platform
s4221,TV Show,COMEDIANS of the world,,"Neal Brennan, Chris D'Elia, Nicole Byer, Nick Swardson, DeAnne Smith, Ivan Decker, Dave Merheje, K. Trevor Wilson, Joel Dommett, Mae Martin, Nish Kumar, Ellie Taylor, Urzila Carlson, Joel Creasey, Nazeem Hussain, Cal Wilson, Riaad Moosa, Tumi Morake, Loyiso Gola, Loyiso Madinga, Atul Khatri, Aditi Mittal, Amit Tandon, Franco Escamilla, Hugo El Cojo Feliz, Gaby Llanas, Enissa Amani, Ilka Bessin, Kaya Yanar, Thiago Ventura, Mhel Merrer, Afonso Padilha, Shirley Souagnon, Jason Brokerss, Tania Dutel, Donel Jack'sman, Ibraheem Alkhairallah, Rawsan Hallak, Adi Khalefa, Moayad Alnefaie, Louis-José Houde, François Bellefeuille, Katherine Levac, Adib Alkhalidey, Martijn Koning, Soundos El Ahmadi, Rayen Panday",United States,"January 1, 2019",2019,TV-MA,13 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies","This global stand-up comedy series features a diverse set of comics from 13 regions bringing their perspectives on what's funny around the world.",Netflix
s4227,TV Show,The Paper,,"Branka Katić, Trpimir Jurkic, Aleksandar Cvetković, Zijad Gračić, Olga Pakalović, Goran Markovic, Edita Karađole, Zdenko Jelcic, Tihana Lazovic, Mijo Jurišić, Dajana Čuljak, Alen Liverić, Anja Matković, Dragan Despot",Croatia,"January 1, 2019",2018,TV-MA,2 Seasons,"International TV Shows, TV Dramas",A construction magnate takes over a struggling newspaper and attempts to wield editorial influence for power and personal gain.,Netflix
s4228,TV Show,Tidying Up with Marie Kondo,,Marie Kondo,United States,"January 1, 2019",2019,TV-PG,1 Season,Reality TV,"In a series of inspiring home makeovers, world-renowned tidying expert Marie Kondo helps clients clear out the clutter – and choose joy.",Netflix
s4251,TV Show,Pioneers: First Women Filmmakers*,,,,"December 30, 2018",1925,TV-14,1 Season,TV Shows,"This collection restores films from women who tackled hot-button issues, transcended norms, and left a mark on the history of cinema and the industry.",Netflix
s4252,TV Show,In Family We Trust,,"Songsit Roongnophakunsri, Saksit Tangtong, Kathaleeya McIntosh, Sopitnapa Choompanee, Apasiri Nitibhon, Phollawat Manuprasert, Nappon Gomarachun, Patravadi Mejudhon, Kejmanee Wattanasin, Supoj Chancharoen, Pimmara Charoenpakdee, Thanapob Leeratanakajorn, Kritsanapoom Pibulsonggram, Teeradon Supapunpinyo, Kongyingyong Chonlathorn, Lapat Ngamchaweng, Sivakorn Adulsuttikul, Paris Intarakomalyasut, Jackrin Kungwankiatichai, Vachirawich Aranthanawong, Sawanya Paisarnpayak, Kanyawee Songmuang, Pitisak Yaowananon, Chavalit Chittanant, Thaneth Warakulnukroh",Thailand,"December 29, 2018",2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","When the head of the lucrative family business passes away, his will leaves the clan at extreme odds.",Netflix
s4255,TV Show,Hashoter Hatov,,"Moshe Ivgy, Guy Loel, Yuval Semo, Yigal Adika, Avi Shnaidman, Vered Feldman, Liora Rivlin",Israel,"December 28, 2018",2015,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Comedies",An honest – though overzealous – police officer strives to do good work while dealing with his bickering parents and incompetent coworkers.,Netflix
s4257,TV Show,Murder Mountain,,,United States,"December 28, 2018",2018,TV-MA,1 Season,"Crime TV Shows, Docuseries","In Humboldt County, California, the big business of legal marijuana brings in visitors from around the world. Some are never seen again.",Netflix
s4258,TV Show,Selection Day,,"Mohammad Samad, Yash Shashank Dholye, Rajesh Tailang, Mahesh Manjrekar, Karanvir Malhotra, Ratna Pathak Shah, Akshay Oberoi",India,"December 28, 2018",2018,TV-14,1 Season,"International TV Shows, TV Dramas, Teen TV Shows",Two teen cricket prodigies struggle against their overbearing father and a system stacked against them to realize their own ambitions and identities.,Netflix
s4261,TV Show,Stand Up and Away! with Brian Regan,,Brian Regan,United States,"December 24, 2018",2018,TV-PG,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Brian Regan blends his trademark observational stand-up with short sketches and a bit of audience interaction in this hybrid comedy series.,Netflix
s4262,TV Show,Way Back into Love,,"June Tsai, Ray Chang, Lung Shao-hua, Yi-Wen Yen, Ching-kuan Wang, Mai Sato",Taiwan,"December 24, 2018",2011,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","After years in the U.S., a Taiwanese immigrant returns to her hometown with a young daughter in tow to assist her father with his bed-and-breakfast.",Netflix
s4263,TV Show,Watership Down,Noam Murro,"James McAvoy, Nicholas Hoult, John Boyega, Ben Kingsley, Tom Wilkinson, Gemma Arterton, Peter Capaldi, Olivia Colman, Mackenzie Crook, Anne-Marie Duff, Taron Egerton, James Faulkner, Freddie Fox, Lee Ingleby, Miles Jupp, Daniel Kaluuya, Rory Kinnear, Craig Parkinson, Rosamund Pike, Daniel Rigby, Jason Watkins","United Kingdom, Ireland, United States","December 23, 2018",2018,TV-PG,1 Season,"British TV Shows, International TV Shows, TV Action & Adventure",A warren of rabbits battles many threats on their daring journey to find a new home in this adaptation of the classic novel by Richard Adams.,Netflix
s4264,TV Show,"Demon's Path",,"Wai Ai, Jim Chim Sui Man, Kwok-Pong Chan, Felix Lok, Sham Ka Ki, Elanne Kong, Kate Yeung, Ong Yi-hing, Sunny Lau",,"December 22, 2018",2018,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","To catch three criminal masterminds, a group of cops teams up with a forensic pathologist who can see a murder victim's final moments before death.",Netflix
s4265,TV Show,People Just Do Nothing,,"Allan Mustafa, Hugo Chegwin, Asim Chaudhry, Lily Brazier, Olivia Jasmine Edwards, Dan Sylvester, Steve Stamp, Ruth Bratt, George Keywood, Maria Louis",United Kingdom,"December 22, 2018",2018,TV-MA,5 Seasons,"British TV Shows, TV Comedies",Spinning old-school beats is just another day at the office for the naive DJs of a pirate radio station who juggle family life with their passion.,Netflix
s4266,TV Show,Single Ladies Senior,,"Summer Meng, Christina Mok, Alina Cheng, Bonnie Wang",,"December 22, 2018",2018,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Four best friends and spirited career women navigate the treacherous world of romance – even as it stands in the way of work and friendship.,Netflix
s4267,TV Show,7 Days Out,,,United States,"December 21, 2018",2018,TV-PG,1 Season,Docuseries,"Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food.",Netflix
s4270,TV Show,"Jojo's World",,"Tia Lee, In Deok Hwang, Yen-j, Jason Hsu, Andy Wu, Sharon Hsu",Taiwan,"December 21, 2018",2017,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Diagnosed with a condition that could make her infertile, a career woman must choose one of four bachelors to make a baby with before time runs out.",Netflix
