,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,Platform
2981,s2982,Movie,Brahms,Baeble Music,,,,2006,NR,30 min,Music Videos and Concerts,"Our latest concert video comes with a hazy, night vision glow to it. It would seem electro-rock outfit BRAHMS love performing under a cover of darkness...and with good reason. Theirs' is an inebriated sort of sound packaged in nocturnal beats, glassy waves of synths, and unrestrained sing along choruses. It's the kind of sound that makes me suspect that even their 11:30 headlining set at The Northside Festival was a bit too early for their tastes. Nevertheless, the art school electronics the Brooklyn based band filled the cavernous Brooklyn Bowl with drove the mass who had gathered before them mad...a delirious mess of flailing arms, bopping heads, and whatever else was going on in the darkness. Though they might have closed Cantora Bowl with this performance, my guess is BRAHMS only got the evening kicking for the slew who danced their way through this performance. - David Pitz",Prime Video
2982,s2983,Movie,"Brad's Status",Mike White,"Ben Stiller, Austin Abrams, Jenna Fischer, Luke Wilson, Michael Sheen",United States,,2017,R,102 min,"Comedy, Drama",A trip to Boston with his college-bound son triggers a crisis of confidence for Brad Sloan (Ben Stiller) as he reassesses his life choices in this bittersweet comedy. Now on Prime Video.,Prime Video
2983,s2984,Movie,Brad Williams: Daddy Issues,Scott Montoya,Brad Williams,,,2016,18+,61 min,"Arts, Entertainment, and Culture, Comedy","in his second one hour special, Brad Williams discusses race and political correctness, as well as his ""Daddy Issues"" on how his father raised him to deal with adversity and how his family had to deal with its greatest challenge yet. Copyright 2016 Laugh Out Loud Comedy, Inc. distributed by lolflix, Inc. filmed during the Laugh Out Loud Comedy Festival.",Prime Video
2984,s2985,Movie,Brad Williams Fun Size,Scott L. Montoya,Brad Williams,,,2015,,60 min,"Arts, Entertainment, and Culture, Comedy","Brad Williams possesses something that everyone can agree is funny: a disability. Brad is a dwarf and his inimitable take on disability, relationships, sex and race with perfect timing and explosive delivery proves that you can in fact overcome any shortcomings... pun intended. Copyright 2013 Laugh Out Loud Comedy, Inc. distributed by lolflix, Inc. filmed during the Laugh Out Loud Comedy Festival.",Prime Video
2985,s2986,Movie,"Boys' Reformatory",Howard Bretherton,"Frankie Darro, Grant Withers, David Durand, Warren McCollum, Al Hill Jr., Robert McClung, George Offerman Jr., Frank Coghlan Jr., Ben Welden, Lillian Elliott, Tempe Pigott, John St. Polis",,,1939,13+,89 min,Drama,"A tough street kid takes the rap for a burglary committed by the son of his foster family and is sent to a boys reformatory, where the inmates are under the thumb of corrupt guards and a brutal prison doctor.",Prime Video
2987,s2988,Movie,Boys (English Subtitled),Mischa Kamp,"Stijn Taverne, Gijs Blom, Ton Kas, Jonas Smulders, Ko Zandvliet",Netherlands,,2015,16+,77 min,"LGBTQ, Romance, Sports","In this beautiful and uplifting gay romance, two teen track stars discover first love as they train for the biggest relay race of their young lives.",Prime Video
2988,s2989,Movie,Boynton Beach Club,Susan Seidelman,"Dyan Cannon, Sally Kellerman, Brenda Vaccaro, Len Cariou, Joseph Bologna",United States,,2006,R,105 min,"Comedy, Romance",A romantic comedy about our amazing capacity to rebound and fall in love at any age.,Prime Video
2989,s2990,Movie,"Boyfriend School, The",Malcolm Mowbray,"Jami Gertz, Steve Guttenberg",,,1990,PG-13,103 min,"Comedy, Romance","Painfully boring Gus isn't exactly ladies' man material – at least not until his meddling romance writer sister makes him the buff and bronzed main character in the romantic fantasies of his dream girl, Emily.",Prime Video
2990,s2991,Movie,Boy of the Streets,William Nigh,"Jackie Cooper, Maureen O'Connor, Kathleen Burke, Robert Emmett O'Connor, Marjorie Main",,,1937,13+,78 min,Drama,"Teenager Chuck Brennan (Cooper) lives in the worst slums of the big city, making his way as the leader of a local teenage gang who harrass the cops and fight other gangs. Chuck falls in love with Nora, who gave up her college scholarship and a future out of the slums to care for her sickly mother. Wanting to please and help Nora, Chuck becomes the new right hand man of gangster Blackie Davis. Soon Chuck becomes addicted to the easy money and noteriety, but loses Nora in the process, who wants nothing to do with a gangster. This drives Chuck to take on even more risky jobs, leading to a final heist that goes horribly wrong. A striking, gritty drama about the horrible choices faced by those living in the slums of the 1930's.",Prime Video
2991,s2992,Movie,Bowery Blitzkreig,Wallace Fox,"Leo Gorcey, Bobby Jordan, Huntz Hall, Keye Luke, Warren Hull, Charlotte Henry, Bobby Stone, Donald Haines, Ernest Morrison, David Gorcey, Martha Wentworth, Jack Mulhall, Eddie Foster, Dennis Moore, Tony Carson, Pat Costello, Dick Ryan, Jack Carr, Bill Cartledge, John Indrisano, George Morrell, Minerva Urecal",,,1941,PG,62 min,"Comedy, Drama","The East Side Kids discover that one of their own, Danny, is torn between staying and school and becoming a boxer, and is getting mixed up with gangsters.",Prime Video
2992,s2993,Movie,Bowery at Midnight,Wallace Fox,"Bela Lugosi, John Archer, Wanda McKay",,,1942,13+,62 min,"Action, Suspense",Kindly soup kitchen operator and professor of criminology Bela Lugosi uses his soup kitchen as a front for a criminal gang who commit a series of daring robberies and murders.,Prime Video
2993,s2994,Movie,Bottom of the 9th,Raymond De Felitta,"Joe Manganiello, Sofia Vergara, Michael Rispoli, Denis O'Hare",,,2019,R,111 min,Drama,Starring Joe Manganiello and Sofia Vergara. From a producer of Creed comes an inspirational sports story about determination and redemption.,Prime Video
2995,s2996,Movie,Boss,MITCH CREDLE,"LASONYA OLDEN, THOMAS SYKES, TRINA ADAMS, FAHEEM SALAAM, JAYE ALLEN, STACEY TYSON, TY DICKSON, CHANTEL ROLLINS",,,2017,16+,145 min,"Action, Drama","Based in Washington D.C. two childhood friends allow the love of money to become the root to their evils. Sweets, a madame of the streets comes across a truck full of drugs and instead of returning the vehicle to the notorious drug dealer, Hakeem, to which it belongs she sales the product and keeps the profit. Once Hakeem realizes Sweets is in possession of the missing truck he seeks revenge.",Prime Video
2996,s2997,Movie,Bornoporichoy,Mainak Bhaumik,"Jisshu Sengupta, Abir Chatterjee, Priyanka Sarkar",India,,2019,16+,102 min,"Drama, International","Police Detective Dhanonjoy once lost everything that was dear to him during an obsessive yet fruitless pursuit of a serial killer named Arko. When his nemesis resurfaces years later, Dhanonjoy embarks on one final crusade to end Arko's killing spree.",Prime Video
2997,s2998,Movie,Born Too White,Claire Richards,Oscar Duke,,,2017,16+,59 min,"Documentary, Special Interest","A new documentary for award-winning international current affairs strand This World explores the discrimination and persecution of people with albinism in Tanzania and Malawi, East Africa. In Born Too White, NHS doctor Oscar Duke (24 Hours in A&E), who himself has albinism, embarks on a personal journey to discover what life is like for people who share his condition in these countries.",Prime Video
2998,s2999,Movie,Born To Win,Ivan Passer,"George Segal, Robert DeNiro, Karen Black, Hector Elizondo, Paula Prentiss, Jay Fletcher",,,1971,,88 min,Drama,"New York Ex-hairdresser Segal tries to deal with his 100 dollar a day Heroin addiction, with moments of self-hatred in his fast lane lifestyle that threaten to destroy him. The portrayal of the Big Apple drug culture is harrowing, harsh and vivid. Recommended film with excellent cast, with scenes of brilliance and humor due to Passer's direction.",Prime Video
3002,s3003,Movie,Boonie Bears: Blast Into the Past,Leon Ding,"Joseph S. Lambert, Nikki Stinson, Kieran Katarey, Maxx Rinehart, Siobhan Lumsden",,,2020,7+,90 min,"Animation, Kids","The Boonie Bears are going on an adventure, this time to visit the forest as they've never seen it before: 30,000 years in the past!",Prime Video
