,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,Platform
1345,s1346,TV Show,Peppa Pig,,"John Sparkes, Morwenna Banks, Richard Ridings",,,2011,TV-Y,2 Seasons,Kids,"Peppa is a loveable, cheeky little piggy who lives with her little brother George, Mummy Pig and Daddy Pig. Peppa's favorite things include playing games, dressing up, days out and jumping in muddy puddles.",Prime Video
1346,s1347,TV Show,People Like Us,,Chris Langham,,,1999,16+,1 Season,Comedy,"Chris Langham stars as the inept fictional interviewer Roy Mallard in this spoof documentary series. In an attempt to get under the skin of what it's like to be one of Britain's unsung professionals, Roy travels across the nation to interview a variety of 'ordinary folk'.",Prime Video
1350,s1351,TV Show,Peg + Cat,,,,,2013,TV-Y,1 Season,Kids,"From PBS KIDS and The Fred Rogers Company, Peg and Cat's adventures take them through worlds of infinite possibilities – from farms to purple planets, from 16th-century Verona to New York's Radio City Music Hall, from a land of pirates to a prehistoric valley – demonstrating that math is everywhere.",Prime Video
1351,s1352,TV Show,Peep Time,,"Shingo Katori, Jiro Sato, Chihiro Yamamoto, Satomi Nagano, Emma Miyazawa (ep2.4.5.7.8, Mari Natsuki (ep6-8",,,2020,16+,1 Season,"Comedy, Kids, Talk Show and Variety","The story follows Shinichi Toneli (Shingo Katori), a clumsy resident of Apt. 301 whose unexpected behavior amuses his neighbor in Apt. 302, Jiro Kasuya (Jiro Sato), who peeps through a hole. The story starts when Jiro's daughter Akane (Chihiro Yamamoto) finds out about her dad's hobby and she joins him peeping through a hole...",Prime Video
1352,s1353,TV Show,PEEP and the Big Wide World,,,,,2011,TV-Y,1 Season,Kids,"Set in and around a pond, a bush, and a tin can, PEEP and the Big Wide Worldfollows a newly hatched chicken named Peep, and his friends Chirp and Quack (a robin and a duck), on their daily adventures.",Prime Video
1353,s1354,TV Show,Peekaboo I See You Series,,,,,2015,ALL,1 Season,"Animation, Kids","The game of peek-a-boo has entertained babies and toddlers alike for years and years! In ""Peekaboo, I See You!"", the friendly blue fellow swings, rolls, bounces, summersaults and tiptoes into the hearts of little ones. Each episode features three objects and viewers get to guess which one he's hiding behind. The series is sure to result in giggles and surprises.",Prime Video
1357,s1358,TV Show,Pawn Stars,,,,,2012,TV-14,1 Season,"Special Interest, Unscripted","The hit HISTORY series returns to the only family-run pawn shop in Las Vegas, where three generations of men carefully assess the value of items brought in by an array of quirky customers. Watch as the Harrison family attempts to find the gems and bust the fakes, all in hopes of making the biggest profit possible.",Prime Video
1358,s1359,TV Show,"Paula's Home Cooking",,,,,2002,TV-G,12 Seasons,Special Interest,"Meet Paula Deen, a woman who literally went from having nothing to having it all in a relatively short time. After the massive success of her business, The Bag Lady, Paula was offered her own cooking show on the Food Network - Paula's Home Cooking. Paula's Home Cooking is where Paula can show you some of her favorite recipes, passed down through her cookbooks-available in stores.",Prime Video
1360,s1361,TV Show,Paul Chowdhry Live Innit (4K UHD),,,,,2019,18+,1 Season,TV Shows,Award-winning and record-breaking comedian Paul Chowdhry brings his stand-up special Live Innit to the screen,Prime Video
1361,s1362,TV Show,Paul Chowdhry Live Innit,,,,,2019,18+,1 Season,TV Shows,Award-winning and record-breaking comedian Paul Chowdhry brings his stand-up special Live Innit to the screen.,Prime Video
1364,s1365,TV Show,Patriot,,"Chris Conrad, Kurtwood Smith, Michael Dorman, Michael Chernus, Kathleen Munroe, Terry O'Quinn, Aliette Opheim",United States,,2018,18+,2 Seasons,"Drama, Suspense","John must make a choice at the train platform – be free from his obligations and adversaries by letting Agathe take the money or pursue her, at great risk to himself, in an effort to protect his brother, father, and country. Meanwhile, his father presents a perilous way out of it all: find and assassinate Cantar Walley in Paris.",Prime Video
1365,s1366,TV Show,Patrick Melrose,,"Benedict Cumberbatch, Jennifer Jason Leigh, Hugo Weaving, Jessica Raine, Indira Varma",,,2018,TV-MA,1 Season,Drama,The son of an aristocratic family seeks redemption and recovery.,Prime Video
1366,s1367,TV Show,"Pati's Mexican Table",,Pati Jinich,,,2020,ALL,1 Season,Special Interest,"Pati's Mexican Table Season 9 explores one of Mexico's largest states: Sonora. Pati travels the rugged, stunning terrain of the Sonoran desert to the sparkling, bountiful Sea of Cortez. She meets the inspiring and creative chefs behind Sonora's bold cuisine along the way. Sonorans say they're Mexico's best-kept secret. Join Pati as she shares their secret bite by delicious bite.",Prime Video
1369,s1370,TV Show,Password Plus,,Allen Ludden,,,1979,TV-G,1 Season,Unscripted,"Two teams, consisting of a celebrity guest and a contestant, guess words from one word clues given by their partners, with each ""password"" a clue to the ""password puzzle"" (the name of a person, place or thing).",Prime Video
1373,s1374,TV Show,Parry Gripp Video Mega-Party,,Parry Gripp,,,2012,ALL,1 Season,"Comedy, Kids","Raining Tacos, Space Unicorns, and more. Sing-a-long with this Parry Gripp video-fest!",Prime Video
1374,s1375,TV Show,Parking Wars,,,,,2012,TV-14,6 Seasons,TV Shows,"Once again we're in the trenches with the men and women of the Philadelphia Parking Authority and Detroit Municipal Parking Department.",Prime Video
1378,s1379,TV Show,Paranormal Cops,,Ron Fabiani,,,2010,TV-PG,1 Season,"Documentary, Drama, Unscripted",Paranormal Cops follows a group of larger-than-life cops who walk one beat during the day as Chicago-area police officers and another at night when they apply their forensic and investigative expertise to paranormal casework.,Prime Video
1379,s1380,TV Show,Paradox,,"Tamzin Outhwaite, Emun Elliott",,,2009,TV-PG,1 Season,TV Shows,"Detective Flint is thrown together with Dr. King when a series of rogue images are transmitted from space into his lab. The images appear to be of a major and deadly incident, but, shockingly, they also suggest it is yet to happen - it's in the future. Rebecca and her team face a race against time as they only have 18 hours to put together the clues and try to prevent almost certain tragedy.",Prime Video
1386,s1387,TV Show,Panic 9-1-1,,,,,2013,TV-14,1 Season,TV Shows,"Panic 9-1-1 features the real, urgent, unrehearsed 911 audio between emergency dispatchers and frantic callers as life and death situations unfold around them.",Prime Video
1387,s1388,TV Show,Pandora,,"Priscilla Quintana, Raechelle Banno, Martin Bobb-Semple",,,2020,TV-NR,2 Seasons,"Action, Adventure, Drama","Set in the year 2199, a young woman who has lost everything finds a new life at Earth's Space Training Academy where she learns to defend the galaxy from intergalactic threats.",Prime Video
1389,s1390,TV Show,Panchayat (4K UHD),,"Jitendra Kumar, Neena Gupta, Raghubir Yadav, Faisal Malik, Chandan Roy",,,2020,13+,1 Season,TV Shows,"Panchayat is a comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a panchayat office in a remote village of Uttar Pradesh.",Prime Video
1390,s1391,TV Show,Panchayat,,"Jitendra Kumar, Neena Gupta, Raghubir Yadav, Faisal Malik, Chandan Roy",,,2020,13+,1 Season,TV Shows,"Panchayat is a comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a panchayat office in a remote village of Uttar Pradesh.",Prime Video
1391,s1392,TV Show,Pajanimals,,"Victor Yerrid, Sarah Lyle, Michael Winsor, Donna Kimball",,,2012,TV-Y,1 Season,Kids,"Pajanimals is a musical series that centers on a quartet of cuddly critters who use stories and songs to explore their feelings and frustrations about bedtime. With the help of these adorable lovies, preschoolers will come to see that there's no shame in facing worries like being afraid of the dark or anxious about separating from a parent.",Prime Video
1397,s1398,TV Show,Paatal Lok,,"Jaideep Ahlawat, Neeraj Kabi, Gul Panag, Swastika Mukherjee, Ishwak Singh, Abhishek Banerjee, Jagjeet Sandhu, Asif Khan, Mairembam Ronaldo Singh, Niharika Lyra Dutt, Bodhisattva Sharma",India,,2020,18+,1 Season,"Drama, International","A down and out cop lands the case of a lifetime when four suspects are nabbed in the assassination attempt of a prime time journalist. The case turns out to be a devious maze where nothing is what it looks like. The pursuit of it leads him to the dark netherworld - the 'Paatal Lok', and to shocking discoveries in the past of the four suspects.",Prime Video
1400,s1401,TV Show,Owlegories,,"Holly Franklin, Jaden Roberts, Mary Morgan, Alison Viktorin, Thomas Boto",,,2017,ALL,1 Season,"Animation, Faith and Spirituality, Kids","Follow along as Joey, Nora, Violet, Gus, & Twitch learn about faith, God, and the Bible through the amazing things found in nature. Episodes include topics on The Sun, The Seed, The Water, The Ant, The Fruit, The Butterfly, The Fire, The Duck, The Seasons, The Gift, The Star, The Lion, The Lamb, The Bread, The Wind, The Moon, and The Rainbow.",Prime Video
1402,s1403,TV Show,OUT On Stage (The Series),,"Zach Noe Towers, Brendan Scannell, Jared Goldstein, Raneir Pollard, Kyle Shire, Jonathan Rowell, Gloria Bigelow, Anthony Desamito, A.B. Cassidy, Jordan Pease, Chris Bryant, Joe Dosch, Casey Ley, Julian Michael, Irene Tu, Janine Brito, Eric Hahn, Daniel Webb",,,2018,18+,1 Season,TV Shows,"OUT On Stage is THE absolutely hilarious and one of a kind, originally produced comedy hosted by Zach Noe Towers! See OUT Magazine's '1 of the 10 comedians to watch in 2018,' the comedian that Sarah Silverman calls, 'So, SO, SO Funny' and 17 other top rated Gay and Lesbian stand-up comedians discuss taboo subjects as only they can!",Prime Video
1406,s1407,TV Show,Our Girl,,"Michelle Keegan, Ben Aldridge, Simon Lennon, Sean Ward, Rolan Bell, Sean Sagar, Mark Armstrong",,,2016,16+,2 Seasons,"Action, Drama","Our Girl is back for a second series. This time we follow Georgie Lane, who is working on a humanitarian tour in Kenya as an army medic while her fiancé Jamie waits for her at home. While working with refugees who have been injured by an explosion, Georgie finds herself in danger.",Prime Video
1408,s1409,TV Show,Orphan Black (4K UHD),,"Tatiana Maslany, Jordan Gavaris, Maria Doyle Kennedy, Dylan Bruce, Kevin Hanchard",,,2014,TV-MA,2 Seasons,"Drama, Science Fiction","Season two hits the ground running with Sarah in a desperate race to find her missing daughter, and a wild pursuit that brings her head-to-head with ruthless pro-clone, Rachel. This season also rejoins Sarah, Alison and Cosima as they struggle to keep the 'clone world' a secret and pick up the pieces of their broken lives.",Prime Video
1409,s1410,TV Show,Orphan Black,,"Tatiana Maslany, Jordan Gavaris, Kevin Hanchard",,,2017,TV-MA,5 Seasons,"Drama, Science Fiction","Neolution is pushing the boundaries of science beyond what anyone thought possible. But at what cost? For Sarah and her sisters, this is the start of a deadly endgame that will have extreme consequences - not just for them, but for the future of the entire human race. Can they finally expose the terrifying secrets at the heart of this corrupt corporation?",Prime Video
1412,s1413,TV Show,Only in America with Larry the Cable Guy,,Eric Weingrad,,,2013,TV-14,3 Seasons,"Documentary, Drama, Unscripted","Larry the Cable Guy believes the United States of America is the greatest country on the face of the earth and he's out to prove it.",Prime Video
1413,s1414,TV Show,ONIHEI,,"Kenyu Horiuchi, Daisuke Namikawa, Romi Pak",,,2017,TV-NR,1 Season,Anime,"It’s the latter half of the Edo period when cruel thieves feared Heizo Hasegawa, known as “Heizo the Oni"". He is the head of Arson Theft Control.He never tolerates injustice and punishes criminals who violate the three articles of a thief.Surrounded by quirky characters, Heizo rids the injustice that infests the city of Edo.(C)Office Ikenami/Bungeishunju Ltd. /TV Series Onihei Production Committee",Prime Video
1418,s1419,TV Show,One on One,,"Flex Alexander, Kyla Pratt, Robert Ri'chard, Jonathan Chase, Camille Mana, Ray J, Nicole Paggi, Kelly Perine, Sicily",,,2006,TV-G,5 Seasons,Comedy,A sportscaster must take on the responsibility of being a full-time dad when his teenage daughter moves in with him.,Prime Video
1419,s1420,TV Show,One Mississippi,,"Tig Notaro, Noah Harpster, John Rothman",United States,,2017,18+,2 Seasons,Comedy,"Love is in the air when we pick up with Tig, Bill & Remy, living together again in Mississippi. It's a season of new beginnings and new relationships for each of them. Tig’s back on the radio, but her outspoken point of view proves controversial for the local market. A chance to take a bigger stage in New Orleans comes with more reach, and responsibility.",Prime Video
1420,s1421,TV Show,One Mic Stand,,"Sapan Verma, Bhuvan Bam, Taapsee Pannu, Richa Chadha, Vishal Dadlani, Shashi Tharoor, Zakir Khan, Rohan Joshi, Ashish Shakya, Kunal Kamra, Angad Singh Ranyal",India,,2019,16+,1 Season,"Arts, Entertainment, and Culture, Comedy, International","This season, Sapan Verma brings on Bhuvan Bam, Taapsee Pannu, Richa Chadha, Vishal Dadlani and Dr. Shashi Tharoor to make their stand-up comedy debut with the help of Zakir Khan, Kunal Kamra, Angad Ranyal, Rohan Joshi and Ashish Shakya.",Prime Video
1427,s1428,TV Show,One Child,,"Katie Leung, Linh-Dan Pham, Donald Sumpter, Elizabeth Perkins",,,2014,TV-MA,1 Season,Drama,A young adopted British woman (Katie Leung) travels to China to meet her birth family for the first time in 21 years. What should be a warm reunion quickly turns into a race against death.,Prime Video
1437,s1438,TV Show,Off the Cuff,,"Chris Parr, Harris Dirnberger, Philip Dirnberger, William Jones",,,2020,16+,2 Seasons,"Documentary, Special Interest","In an effort to explore the most fascinating communities in the world, Season 2 of ""Off the Cuff"" is a collection of short documentaries that showcase the most obscure communities in America.",Prime Video
1442,s1443,TV Show,Oddbods,,,,"March 30, 2021",2020,ALL,2 Seasons,"Animation, Comedy, Kids","Oddbods is an award winning animated series that follows the comedic adventures of seven adorable yet quirky characters. Every episode celebrates the 'odd' in everything where seemingly ordinary situations are given a humorous twist and everyone has fun along the way.",Prime Video
1446,s1447,TV Show,Odd Squad,,"Dalila Bela, Filip Geljo, Millie Davis",,,2014,TV-Y,1 Season,Kids,"Odd Squad, a live-action media property designed to help kids ages 5-8 learn math. The show focuses on two young agents, Olive and Otto, who are part of the Odd Squad, an agency whose mission is to save the day whenever something unusual happens in their town.",Prime Video
1448,s1449,TV Show,O.J. Speaks: The Hidden Tapes,,,,,2015,TV-14,1 Season,"Documentary, Special Interest","This two-hour premiere special analyzes with new details and revelations the case that led to Simpson's conviction for armed robbery.",Prime Video
1449,s1450,TV Show,Nursery Ryhmes for Babies,,,,,2019,ALL,2 Seasons,"Animation, Kids","Enjoy classic nursery rhymes with your baby or toddler all set to beautiful, colorful imagery and catchy music.",Prime Video
1450,s1451,TV Show,Nursery Rhymes with Color Crew (Spanish audio),,,,,2018,ALL,1 Season,"Animation, Kids","Join us for a color song special collection in 3D animation, featuring all the colors nursery rhymes from the infamous color crew",Prime Video
1460,s1461,TV Show,Nursery Rhymes and Kids Songs by KiiYii (Made by Little Baby Bum),,,,,2019,ALL,5 Seasons,Kids,"A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs, and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!",Prime Video
1466,s1467,TV Show,Numbers Parade Series,,,,,2015,ALL,1 Season,"Animation, Kids, Special Interest","Introduce your baby to numbers one all the way through five in this upbeat and educational series. You'll go on a journey with BabyFirst as you meet a variety of friends along the way including Peep, the chick from Numbers Farm, and all the adorable animals from Numbers Around the Globe.",Prime Video
1467,s1468,TV Show,NOVA: Worlds Fastest Animal,,,,,2018,TV-PG,1 Season,TV Shows,"See the world through the eyes of nature's fastest animal: the peregrine falcon. Watch hatchlings learn to fly and join an expert falconer as he trains a young peregrine to be a high-speed predator, putting his hunting skills to the test.",Prime Video
1468,s1469,TV Show,NOVA: Volatile Earth - Volcano on Fire,,Parker Sawyers,,,2018,TV-PG,1 Season,TV Shows,"Climb up the cone of Nyiragongo, one of the world's least studied volcanoes, and join volcanologists as they descend into its crater, down towards its bubbling lava lake. When will it erupt next?",Prime Video
1469,s1470,TV Show,NOVA: Last B-24,,,,,2018,TV-PG,1 Season,"Documentary, Special Interest","Dive beneath the sea in search of the Tulsamerican, a B-24 bomber that crashed at the height of World War II. Join a team of archaeologists on a dangerous mission to recover the fallen airmen and identify their remains.",Prime Video
1482,s1483,TV Show,Niko and the Sword of Light,,"アンドレ･ロビンソン, カリ･ワールグレン, トム･ケニー",,,2019,ALL,3 Seasons,Kids,"The Dark Champion pursues Niko, Lyra, and their friends as they race to find the Amulet of Power before Nar Est and their foes. They journey across the land, under the sea, and beyond the realm of the living, where Niko seeks to discover his true purpose… and a way to rid the world of Darkness once and for all.",Prime Video
1489,s1490,TV Show,"Nicole & Jionni's Shore Flip",,"Jionni LaValle, Nicole Polizzi",,,2016,13+,1 Season,"Documentary, Drama, Unscripted","Nicole and Jionni's Shore Flip follows reality star turned interior-design maven Nicole ""Snooki"" Polizzi and her contractor husband Jionni LaValle as the newlyweds kick off a home-flipping business with their first large-scale flip on the Jersey Shore.",Prime Video
1499,s1500,TV Show,New York Goes To Work,,Tiffany Pollard,,,2009,18+,1 Season,TV Shows,"New York Goes to Work is a reality VH1 series that first premiered on May 4, 2009. This follow-up of New York Goes to Hollywood stars Tiffany ""New York"" Pollard as she tries to find a regular job. The jobs are selected by fans (by text messaging) from a list of three possible jobs for each individual episode.",Prime Video
1500,s1501,TV Show,New York Goes To Hollywood,,Tiffany Pollard,,,2008,16+,1 Season,"Comedy, Special Interest, Unscripted","New York is finally ready to tackle her lifelong dream: superstardom. Don't get it wrong - New York is already a star but she wants to be on the A-list - as a legit actress. In order to focus on her new mission, New York has to put her last conquest, Tailor Made, on the back burner as she tries to take on Tinsel Town.",Prime Video
1501,s1502,TV Show,"New Words with Joey's Toy Box Series",,,,,2015,ALL,1 Season,"Kids, Special Interest","Meet Joey and his mom on advenures where they explore common words and objects that can be found in your home, backyard and more!",Prime Video
1503,s1504,TV Show,New England Legends,,Jeff Belanger,,,2020,TV-PG,1 Season,"Documentary, Horror, Special Interest","A legend is a living, breathing thing. These aren't just campfire tales. These legends define who we are as a people, a community, and a region. New England native and host Jeff Belanger is a writer, researcher, and adventurer, and he's always on the hunt for the next New England legend. This series originally aired on PBS.",Prime Video
1513,s1514,TV Show,Nazi Attack on America,,,,,2015,13+,1 Season,"Documentary, Special Interest","Long before 9/11, a far deadlier, little-known attack from the ocean depths struck our shores, lasting three-and-a-half years and claiming 5,000 lives. Now, famed undersea explorer Bob Ballard, discoverer of the Titanic, investigates the wreck of one of the attack craft, a German submarine that lies at the bottom of the gulf just a few miles off New Orleans.",Prime Video
1523,s1524,TV Show,Nature Cat,,,,,2016,TV-Y,1 Season,"Animation, Kids","NATURE CAT is an animated series that follows Fred, a house cat who dreams of exploring the great outdoors. Once his family leaves for the day, Fred transforms into Nature Cat, an outdoor explorer extraordinaire. With the help of his animal friends, Nature Cat embarks on action-packed adventures all while inspiring children to go outside.",Prime Video
1528,s1529,TV Show,Napoleon: The Man Who Would Rule Europe,,,,,2019,13+,1 Season,"Documentary, Special Interest","It is the first full series appraisal of the life and times of the nineteenth century's central character. Comprehensive and authoritative but above all entertaining, the series provides a compelling portrait of the man and the legend from the early years of his life, through the glorious Imperial years, to the misery of defeat at Waterloo and exile on Elba.",Prime Video
1529,s1530,TV Show,"Napoleon Hill's Master Key",,"Napoleon Hill, W. Clement Stone",,,1954,NR,1 Season,Special Interest,"In 1954, Napoleon Hill produced a historic television broadcast. In 13 episodes, Dr. Hill shares with you his philosophy of success and gives you simple, step-by-step instructions for its attainment. Using Napoleon Hill's Master Key, you will learn to unlock your purpose and start living a life of success, wealth, and happiness.",Prime Video
1534,s1535,TV Show,MysteryQuest,,Stan Bernard,,,2009,TV-14,1 Season,"Documentary, Special Interest","MysteryQuest dispatches teams of experts throughout the world to try to solve some of mankind's strangest and most persistent mysteries through step-by-step investigations, revealing results that just may re-write history.",Prime Video
1538,s1539,TV Show,My Restaurant Rules Australia,,"Caterina Borsato, Patrick Collins, Matt Moran, Curtis Stone",,,2004,7+,1 Season,"Special Interest, Unscripted","My Restaurant Rules gives 5 couples the chance to own a restaurant. The couples must build and run the restaurant to survive in the competition. After the opening of the restaurants, the competition judges will visit each restaurant and submit a review.",Prime Video
1539,s1540,TV Show,My Paranormal Nightmare,,,,,2020,18+,1 Season,"Documentary, Horror","Each episode portrays three stories told through personal interviews, reliving their horrifying story as their nightmare unfolds with dramatic re-creations. Expert commentary helps to explain and make some sense of each phenomenon. Every story is unique in its re-telling as we present the myriad of ghosts, poltergeists, demons, shadow figures and elemental spirits from their haunted past",Prime Video
1541,s1542,TV Show,My Online Nightmare,,Rafe Spall,,,2017,16+,1 Season,"Documentary, Special Interest","Remarkable tales of extraordinary scammers and fraudsters from the UK and America who use the internet to lure in their victims with terrifying, and sometimes deadly, results. Each story is a glimpse into how the internet has been transforming our relationships, our desires and our darkest fantasies.",Prime Video
1546,s1547,TV Show,My Mother and Other Strangers,,"Hattie Morahan, Owen McDonnell, Aaron Staton, Antonia Campbell-Hughes, Corey Cott, Gavin Drea, Seamus O'Hara, Eileen O'Higgins, Kerr Logan, Des McAleer, Ryan McParland, Michael Nevin, Fiona O'Shaughnessy",,,2017,13+,1 Season,"Drama, Historical","Shot on the stunningly beautiful Ards Peninsula in Northern Ireland, My Mother and Other Strangers portrays the culture clash when a U.S. bomber base is established near the fictional village of Moybeg in 1943, bringing hundreds of gum-chewing, swing-band-listening American airmen to a remote Ulster farming community, with its winsome women and stolid workingmen.",Prime Video
1549,s1550,TV Show,My Kitchen Rules New Zealand,,Ben Bayly,,,2016,13+,4 Seasons,Special Interest,"After five hugely successful seasons in Australia, the smash-hit cooking competition My Kitchen Rules crosses the Tasman for the first time ever. My Kitchen Rules New Zealand pits pairs of home cooks against each other, competing for a grand prize of $100,000.",Prime Video
1550,s1551,TV Show,My Kitchen Rules,,"Pete Evans, Manu Feildel, Colin Fassnidge, Septimus Caton",,,2020,13+,11 Seasons,"Documentary, Special Interest, Unscripted","For the first time in My Kitchen Rules history, it's Chef vs Chef and House vs House, as five favourite teams go head-to-head with five new teams in the fiercest competition yet.",Prime Video
1552,s1553,TV Show,My Heroic Husband,,"Guo Qi Lin, Song Yi",,,2021,13+,1 Season,"Comedy, Drama, Romance",A modern businessman travels back to ancient times; he lands in the body of a man about to be married as a matrilocal husband into a family of cloth merchants. He then begins incorporating modern methods and ideals to help his friends and battle corrupt local businesses. Ultimately he becomes involved in the affairs of the country.,Prime Video
1553,s1554,TV Show,My Greatest Dishes,,Sean Pertwee,,,2019,7+,1 Season,"Documentary, Special Interest","Twenty of the world's most celebrated chefs have been invited to cook the four dishes that have made them what they are today. Each of these culinary giants will reveal the very best of their skill, their passion and their incredible stories.",Prime Video
1554,s1555,TV Show,My Girlfriend is Shobitch,,,,,2017,TV-14,1 Season,"Comedy, International, Romance","An innocently lewd relationship begins when Shinozaki confesses to a girl who takes everything too seriously, including sex.",Prime Video
1558,s1559,TV Show,My Dream Farm,,Monty Don,,,2010,13+,1 Season,TV Shows,"My Dream Farm follows first time farmers as they give up their ordinary, urban lives to live off the land. Writer, broadcaster and farmer, Monty Don, mentors the new farmers as they face steep learning curves.",Prime Video
1564,s1565,TV Show,Music and Sounds with Bonnie Bear Series,,,,,2015,ALL,1 Season,Kids,"Together with her best friend, Mr. Gramophone, Bonnie Bear creates colorful paintings from sounds that she hears. ""Bonnie Bear"" demonstrates how working with both your ears and hands can bring together sounds and colors to create a beautiful, whole picture.",Prime Video
1565,s1566,TV Show,"Murphy's Law",,"James Nesbitt, Del Synnott, Sarah Berger, Michael Feast",,,2007,18+,5 Seasons,Action,"As a maverick cop with a dark past, DS Tommy Murphy fails a psychiatric assessment but is given one last chance by his boss and given a dangerous undercover assignment.",Prime Video
1566,s1567,TV Show,Murdertown,,Katherine Kelly,,,2019,16+,2 Seasons,"Documentary, Suspense","Murdertown Season 2 takes viewers into 10 new tragic and compelling true-crime stories from across the UK. This season we're immersing viewers even deeper into the cases, and offering a 360-degree insight into how these crimes rocked the communities they occurred in.",Prime Video
1570,s1571,TV Show,Murder Call,,"Lucy Bell, Peter Mochrie, Geoff Morrell, Jennifer Kent",,,1999,13+,2 Seasons,"Drama, Suspense","With a young high-tech 1990s feel and just a touch of 1940s retro charm, Murder Call follows a classic clue-puzzle plot, combining mystery, action and suspense, spiked with humour, romance and a touch of the bizarre. The series deals with the cases confronted by an unconventional team of homicide detectives, Tessa Vance and Steve Hayden.",Prime Video
1574,s1575,TV Show,"Mud, Sweat & Gears",,"Tom Ford, Jonny Smith",,,2015,13+,1 Season,"Special Interest, Unscripted","The competitive car show where each week hosts Tom 'Wookie' Ford and Jonny Smith captain a team of two car nuts and go head-to-head to transform everyday vehicles. They have 24 hours to mutate, supersize and reconstruct - once transformed, the vehicles are raced in three extreme missions involving sprints, timed challenges and stunts, lots of stunts.",Prime Video
1576,s1577,TV Show,Mr. Robot,,"Rami Malek, Christian Slater, Portia Doubleday, Carly Chaikin, Grace Gummer, Michael Cristofer, Martin Wallstrom, Ashlie Atkinson",,,2019,TV-MA,4 Seasons,TV Shows,"""Mr. Robot"" follows a young programmer named Elliot who suffers from a debilitating anti-social disorder and decides he can only connect to people by hacking them. Like a superhero, he wields his hacking powers as a weapon to protect the people he cares about from those who are trying to hurt them.",Prime Video
1578,s1579,TV Show,"Mr. Monkey, Monkey Mechanic",,"Matt Servo, Nick Tracy, Brett Jubinville, Hayden Finkelshtain, Mike Hogue, Ingrid Hansen, Joe Ciaravino, Ashlie White",,,2019,ALL,3 Seasons,"Animation, Kids","Mr. Monkey, Monkey Mechanic is here to help fix any vehicle a visitor brings! From food trucks and tractors, to bumper cars and even scooters, when Mr. Monkey gets his Monkey wrench, he'll find a creative and fun way to get all his animal friends moving again!",Prime Video
1581,s1582,TV Show,Mr. D,,"Gerry Dee, Jonathan Torrens, Lauren Hammersley, Bette MacDonald",,,2018,TV-PG,8 Seasons,Comedy,"In the final season, Gerry takes on a whole new surprising role to the dismay of the other staff.",Prime Video
1582,s1583,TV Show,Mr. Bean: The Animated Series,,"Rowan Atkinson, Sally Grace, Mathilda Ziegler",,,2019,7+,1 Season,"Animation, Kids","This series follows Mr Bean, his best friend Teddy and his long-suffering landlady Mrs Wicket as we witness more of the mishaps that surround Mr Bean's daily life.",Prime Video
1583,s1584,TV Show,Mr. Bean,,Rowan Atkinson,,,1995,7+,1 Season,"Comedy, Kids","Life is a difficult challenge for Mr Bean, who despite being a grown adult, has trouble completing even the simplest of tasks. Thankfully, his perseverance is usually rewarded, and he finds an ingenious way around the problem. British sitcom created by Rowan Atkinson and Richard Curtis, and starring Atkinson as the title character.",Prime Video
1584,s1585,TV Show,Mr Bean in Handy Bean,,,,,2018,ALL,1 Season,"Comedy, Kids","Mr Bean cooks, creates, packs and paints in this new series. From chocolate on pizza to painting the mono-brow Lisa - sorry, we mean the Mona Lisa! Watch Bean bumble through three bean salads (not what you're thinking) and birthday cakes (his own, obviously)... what could possibly go wrong?",Prime Video
1586,s1587,TV Show,Mozart in the Jungle,,"Lola Kirke, Gael Garcia Bernal, Hannah Dunne, Bernadette Peters, Saffron Burrows, Malcolm McDowell",United States,,2018,18+,4 Seasons,"Comedy, Drama","New melodies arise as Rodrigo & Hailey take their relationship public. Hailey struggles to prove herself as a conductor, while Rodrigo fights to keep his inspiration alive. Thomas joins a start-up orchestra in Queens that challenges Gloria.",Prime Video
1594,s1595,TV Show,Mountain Men,,"D.B. Sweeney, Tom Oar",,,2013,TV-PG,2 Seasons,"Documentary, Drama, Unscripted","Mountain Men follows men who have devoted their lives to surviving off the grid in some of the country's most unforgiving terrain.",Prime Video
1596,s1597,TV Show,Mother Goose Stories,,"Karen Prell, Mike Quinn, Mak Wilson, Angie Passmore",,,1992,TV-Y,1 Season,"Fantasy, Kids","This delightful Emmy-award winning series, directed by Brian Henson, takes a light-hearted look at familiar nursery rhymes. Each eight-minute episode features Mother Goose, who shares these nursery rhymes with her three impatient, fluffy goslings. Episodes combine the live-action talents of young children with Jim Henson's extraordinary puppets.",Prime Video
1616,s1617,TV Show,Moone Boy,,"Chris O'Dowd, Steve Coogan, Johnny Vegas, David Rawle",,,2015,TV-14,3 Seasons,Comedy,"The third season of the hilariously funny and warm comedy based on Chris O' Dowd's life growing up in 1980's Ireland.",Prime Video
1621,s1622,TV Show,MonsterQuest,,Stan Bernard,,,2010,TV-PG,4 Seasons,"Documentary, Special Interest","MonsterQuest uses the latest high-tech equipment to take a scientific look at legendary creatures around the world, creatures eyewitnesses claim to see to this day.",Prime Video
