,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,Platform
2897,s2898,TV Show,Catching Milat,,"Mal Kennard, Richard Cawthorne, Geoff Morrell, David Field",,,2015,16+,1 Season,Suspense,"Over two compelling episodes, Catching Milat tells the true story of how the NSW Police Taskforce Air, and in particular Detective Paul Gordon, tracked down and caught Ivan Milat - the man responsible for the infamous NSW Backpacker Murders.",Prime Video
2900,s2901,TV Show,Catastrophe,,"Rob Delaney, Sharon Horgan",,,2019,18+,4 Seasons,"Comedy, Romance","Rob Delaney and Sharon Horgan write and star in Catastrophe, a comedy following an Irish woman and an American man who make a bloody mess as they struggle to fall in love in London.",Prime Video
2905,s2906,TV Show,Caronte,,"Roberto Álamo, Miriam Giovanelli, Belén López, Raúl Tejón, Itziar Atienza, Marta Larralde, Álex Villazán, Andrea Trepat, Luis Rallo, Carlos Hipólito, Julieta Serrano",Spain,,2020,TV-MA,1 Season,"Drama, Suspense","Caronte will make us think about justice, presumption of innocence and truth. It also talks about second chances and how a man is able to reinvent himself and get his life back together. The different cases will not only influence Caronte's personal life, but, episode after episode, will make our protagonist evolve and grow.",Prime Video
2908,s2909,TV Show,Carnival Row,,"Orlando Bloom, Caroline Ford, Cara Delevingne, Simon McBurney, Karla Crome, Indira Varma, Tamzin Merchant, Arty Froushan, Andrew Gower, Jared Harris, David Gyasi",United States,,2019,16+,1 Season,"Drama, Fantasy, Suspense","With a serial killer loose on Carnival Row, and a government that turns a blind eye to the deaths of its lower class citizens, Rycroft Philostrate, a war-hardened investigator, is the only person willing to stop the murders and maintain the fragile peace. But when Vignette Stonemoss, a faerie refugee, turns up in the Burgue, she forces Philo to reckon with a past he's tried to forget.",Prime Video
2909,s2910,TV Show,Care Bears: Unlock the Music - Songs for Kids,,,,,2020,ALL,1 Season,"Animation, Kids","The Care Bears are a roly-poly collection of lovable little Bears with a very special mission. Join Tenderheart Bear, Good Luck Bear, Wish Bear, Cheer Bear, Bedtime Bear, Love-a-Lot Bear, Grumpy Bear, and Funshine Bea on plenty of adventures to spread love and care around the world!",Prime Video
2910,s2911,TV Show,Card Sharks with Jim Perry,,Jim Perry,,,1978,TV-G,1 Season,Unscripted,Contestants compete to complete a block of five playing cards by trying to predict whether the next card will be higher or lower than the preceding one.,Prime Video
2911,s2912,TV Show,Card Sharks with Bob Eubanks,,Bob Eubanks,,,1986,TV-G,1 Season,Unscripted,Contestants compete to complete a block of five playing cards by trying to predict whether the next card will be higher or lower than the preceding one.,Prime Video
2912,s2913,TV Show,Car Patrol of Car City,,,,,2019,ALL,3 Seasons,"Animation, Kids","Matt the Police Car and Franck the Fire Truck are the fearless detectives of the Car Patrol. Every time a vehicle in Car City gneeds help, the Car Patrol is there to make sure that everyone is safe. Join the Car Patrol and solve the mysteries of Car City!",Prime Video
2913,s2914,TV Show,Car Hunters,,Danny Koker,,,2017,TV-PG,1 Season,"Documentary, Drama, Unscripted","Each episode of ""Car Hunters"" follows a new buyer's search for their dream classic car. Aided by a buddy or family member, they'll check out three unique vehicles from top to bottom.",Prime Video
2914,s2915,TV Show,Car Crash TV,,Chris Barrie,,,2016,13+,2 Seasons,"Action, Documentary","Every day, more road users are filming their journeys, which can sometimes end in disaster. The thousands of dash cams around the world have captured just about every bizarre, ridiculous and down-right dangerous mishap imaginable. We're taking to the planet's highways and byways and discovering How Not to Drive, with help from some examples of other peoples' motoring.",Prime Video
